Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Score,Seconds
22,3:48.23,Ali SAIDI-SIEF,15 MAR 1978,ALG,1,Oslo (NOR),13 JUL 2001,1224,228.23
23,3:48.28,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,1,"Eugene, OR (USA)",10 JUN 2007,1223,228.28
24,3:48.37,Stewart MCSWEYN,01 JUN 1995,AUS,1,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1222,228.37
25,3:48.38,Andrés Manuel DÍAZ,12 JUL 1969,ESP,3,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1222,228.38
26,3:48.40,Steve OVETT,09 OCT 1955,GBR,1,Koblenz (GER),26 AUG 1981,1222,228.4
27,3:48.50,Asbel KIPROP,30 JUN 1989,KEN,1,"Eugene, OR (USA)",07 JUN 2009,1220,228.5
28,3:48.60,Aman WOTE,18 APR 1984,ETH,3f1,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1219,228.6
29,3:48.78,Haron KEITANY,17 DEC 1983,KEN,2,"Eugene, OR (USA)",07 JUN 2009,1217,228.78
30,3:48.80,William KEMEI,22 FEB 1969,KEN,1,"Olympiastadion, Berlin (GER)",21 AUG 1992,1216,228.8
31,3:48.83,Sydney MAREE,09 SEP 1956,USA,1,Rieti (ITA),09 SEP 1981,1216,228.82999999999998
32,3:48.95,Deresse MEKONNEN,20 OCT 1987,ETH,1,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1214,228.95
33,3:48.98,Craig MOTTRAM,18 JUN 1980,AUS,5,Oslo (NOR),29 JUL 2005,1214,228.98
34,3:49.04,Ronald KWEMOI,19 SEP 1995,KEN,1f1,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1213,229.04
35,3:49.08,John WALKER,12 JAN 1952,NZL,2,Oslo (NOR),07 JUL 1982,1213,229.07999999999998
35,3:49.08,Elijah Motonei MANANGOI,05 JAN 1993,KEN,2f1,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1213,229.07999999999998
37,3:49.09,Abdelaati IGUIDER,25 MAR 1987,MAR,4f1,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1213,229.09
38,3:49.11,Marcin LEWANDOWSKI,13 JUN 1987,POL,2,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1212,229.11
39,3:49.20,Peter ELLIOTT,09 OCT 1962,GBR,2,Oslo (NOR),02 JUL 1988,1211,229.2
40,3:49.22,Jens-Peter HEROLD,02 JUN 1965,GDR,3,Oslo (NOR),02 JUL 1988,1211,229.22
41,3:49.26,Matthew CENTROWITZ,18 OCT 1989,USA,1,"Jesuit High School Track, Portland, OR (USA)",24 JUL 2021,1210,229.26
42,3:49.27,Jye EDWARDS,06 MAR 1998,AUS,3,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1210,229.27
43,3:49.29,Ilham Tanui ÖZBILEN,05 MAR 1990,KEN,2,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1210,229.29
44,3:49.31,Joe FALCON,23 JUN 1966,USA,1,Oslo (NOR),14 JUL 1990,1210,229.31
45,3:49.34,David MOORCROFT,10 APR 1953,GBR,3,Oslo (NOR),26 JUN 1982,1209,229.34
45,3:49.34,Benjamin KIPKURUI,28 DEC 1980,KEN,3,Bruxelles (BEL),25 AUG 2000,1209,229.34
47,3:49.38,Andrew BADDELEY,20 JUN 1982,GBR,1,"Bislett Stadion, Oslo (NOR)",06 JUN 2008,1209,229.38
48,3:49.40,Abdi BILE,28 DEC 1962,SOM,4,Oslo (NOR),02 JUL 1988,1209,229.4
48,3:49.40,Charles Cheboi SIMOTWO,05 JUN 1995,KEN,4,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1209,229.4
50,3:49.43,James Kiplagat MAGUT,20 JUL 1990,KEN,5f1,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1208,229.43
51,3:49.45,Mike BOIT,06 JAN 1949,KEN,2,Bruxelles (BEL),28 AUG 1981,1208,229.45
51,3:49.45,Samuel TEFERA,23 OCT 1999,ETH,1,"Olympic Stadium, London (GBR)",21 JUL 2019,1208,229.45
53,3:49.50,Rui SILVA,03 AUG 1977,POR,3,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1207,229.5
54,3:49.56,Fermín CACHO,16 FEB 1969,ESP,2,Oslo (NOR),05 JUL 1996,1207,229.56
54,3:49.56,Collins CHEBOI,25 SEP 1987,KEN,6f1,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1207,229.56
56,3:49.60,José Antonio REDOLAT,17 FEB 1976,ESP,4,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1206,229.6
56,3:49.60,Filip INGEBRIGTSEN,20 APR 1993,NOR,2,"Olympic Stadium, London (GBR)",21 JUL 2019,1206,229.6
58,3:49.64,Timothy CHERUIYOT,20 NOV 1995,KEN,3f1,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1205,229.64
59,3:49.70,Mekonnen GEBREMEDHIN,11 OCT 1988,ETH,4,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1205,229.7
60,3:49.75,Mushir Salim JAWHER,13 JUN 1978,KEN,5,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1204,229.75
61,3:49.77,Ray FLYNN,22 JAN 1957,IRL,3,Oslo (NOR),07 JUL 1982,1204,229.77
61,3:49.77,Wilfred Oanda KIROCHI,12 DEC 1969,KEN,2,Oslo (NOR),06 JUL 1991,1204,229.77
61,3:49.77,Caleb Mwangangi NDIKU,09 OCT 1992,KEN,5,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1204,229.77
64,3:49.80,Jim SPIVEY,07 MAR 1960,USA,3,Oslo (NOR),05 JUL 1986,1203,229.8
65,3:49.83,Vyacheslav SHABUNIN,27 SEP 1969,RUS,6,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1203,229.82999999999998
65,3:49.83,Nick WILLIS,25 APR 1983,NZL,2,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1203,229.82999999999998
67,3:49.86,Homiyu TESFAYE,23 JUN 1993,GER,3,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1203,229.86
68,3:49.91,Simon DOYLE,09 NOV 1966,AUS,4,Oslo (NOR),06 JUL 1991,1202,229.91
69,3:49.95,Tarek BOUKENSA,19 NOV 1981,ALG,6,Oslo (NOR),29 JUL 2005,1201,229.95
70,3:49.98,Thomas WESSINGHAGE,22 FEB 1952,FRG,3,Berlin (GER),17 AUG 1983,1201,229.98
71,3:50.01,Augustine Kiprono CHOGE,21 JAN 1987,KEN,1,"Olympic Stadium, London (GBR)",27 JUL 2013,1201,230.01
72,3:50.04,Ivan HESHKO,19 AUG 1979,UKR,2,"Crystal Palace, London (GBR)",30 JUL 2004,1200,230.04
73,3:50.08,Mohamed MOUSTAOUI,02 APR 1985,MAR,4,"Bislett Stadion, Oslo (NOR)",06 JUN 2008,1200,230.07999999999998
74,3:50.22,Amine LAALOU,13 MAY 1982,MAR,2f1,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1198,230.22
75,3:50.24,Gideon GATHIMBA,09 MAR 1980,KEN,4,"Bislett Stadion, Oslo (NOR)",07 JUN 2012,1198,230.24
76,3:50.25,Alex KIPCHIRCHIR,26 NOV 1984,KEN,2,Rieti (ITA),07 SEP 2003,1198,230.25
77,3:50.26,Kevin SULLIVAN,20 MAR 1974,CAN,4,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1197,230.26
78,3:50.30,Jake WIGHTMAN,11 JUL 1994,GBR,3,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1197,230.3
79,3:50.32,John MAYOCK,26 OCT 1970,GBR,3,Oslo (NOR),05 JUL 1996,1197,230.32
80,3:50.33,Eric DUBUS,28 FEB 1966,FRA,3,Zürich (SUI),16 AUG 1995,1197,230.32999999999998
81,3:50.34,Todd HARBOUR,24 MAR 1959,USA,5,Oslo (NOR),11 JUL 1981,1196,230.34
82,3:50.38,Pierre DÉLÈZE,25 AUG 1958,SUI,4,Koblenz (GER),25 AUG 1982,1196,230.38
83,3:50.39,James Kwalia C'KURUI,12 JUN 1984,KEN,1,"Blankers-Koen Stadion, Hengelo (NED)",01 JUN 2003,1196,230.39
84,3:50.40,Steve HOLMAN,02 MAR 1970,USA,5,Oslo (NOR),04 JUL 1997,1196,230.4
84,3:50.40,Cornelius CHIRCHIR,05 JUN 1983,KEN,2,"Crystal Palace, London (GBR)",08 AUG 2003,1196,230.4
84,3:50.40,Eliud KIPCHOGE,05 NOV 1984,KEN,3,"Crystal Palace, London (GBR)",30 JUL 2004,1196,230.4
87,3:50.42,Bethwell BIRGEN,06 AUG 1988,KEN,5,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1195,230.42000000000002
88,3:50.43,Yenew ALAMIREW,27 MAY 1990,ETH,7,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1195,230.43
89,3:50.49,Shadrack KORIR,14 DEC 1978,KEN,1,"Eugene, OR (USA)",08 JUN 2008,1194,230.49
90,3:50.52,Hauke FUHLBRÜGGE,21 MAR 1966,GER,6,Oslo (NOR),06 JUL 1991,1194,230.52
91,3:50.54,José Manuel ABASCAL,17 MAR 1958,ESP,2,"Stadio Olimpico, Roma (ITA)",10 SEP 1986,1194,230.54
92,3:50.57,William TANUI,22 FEB 1964,KEN,5,"Olympiastadion, Berlin (GER)",26 AUG 1997,1193,230.57
92,3:50.57,Ali HAKIMI,24 APR 1976,TUN,6,"Olympiastadion, Berlin (GER)",26 AUG 1997,1193,230.57
94,3:50.60,Sammy MUTAI,20 DEC 1974,KEN,7,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1193,230.6
95,3:50.62,Mark CARROLL,15 JAN 1972,IRL,7,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1193,230.62
96,3:50.64,Graham WILLIAMSON,15 JUN 1960,GBR,4,Cork (IRL),13 JUL 1982,1193,230.64
96,3:50.64,Leonel MANZANO,12 SEP 1984,USA,3,"Crystal Palace, London (GBR)",14 AUG 2010,1193,230.64
98,3:50.70,Johan CRONJE,13 APR 1982,RSA,9f1,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1192,230.7
99,3:50.72,Henrik INGEBRIGTSEN,24 FEB 1991,NOR,4,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1191,230.72
100,3:50.73,Wilson WAIGWA,15 FEB 1949,KEN,2,Koblenz (GER),31 AUG 1983,1191,230.73
101,3:50.79,Robert Kiplagat ANDERSEN,12 DEC 1972,DEN,7,"Olympiastadion, Berlin (GER)",26 AUG 1997,1191,230.79
102,3:50.82,Johan FOURIE,02 DEC 1959,RSA,1,Port Elizabeth (RSA),11 MAR 1987,1190,230.82
102,3:50.82,Suleiman Kipses SIMOTWO,21 APR 1980,KEN,7,Oslo (NOR),29 JUL 2005,1190,230.82
104,3:50.83,Nicholas Kiptanui KEMBOI,18 DEC 1989,KEN,6,"Bislett Stadion, Oslo (NOR)",06 JUN 2008,1190,230.82999999999998
105,3:50.84,Tom BYERS,12 MAY 1955,USA,6,Koblenz (GER),25 AUG 1982,1190,230.84
106,3:50.87,Abel KIPSANG,22 NOV 1996,KEN,4,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1190,230.87
107,3:50.90,Hamza DRIOUCH,16 NOV 1994,QAT,8,"Bislett Stadion, Oslo (NOR)",07 JUN 2012,1189,230.9
108,3:50.95,Nixon Kiplimo CHEPSEBA,12 DEC 1990,KEN,2,"Bislett Stadion, Oslo (NOR)",13 JUN 2013,1188,230.95
109,3:50.97,Cole HOCKER,06 JUN 2001,USA,5,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1188,230.97
110,3:50.98,José MARAJO,10 AUG 1954,FRA,4,Oslo (NOR),09 JUL 1983,1188,230.98
110,3:50.98,Robert RONO,16 AUG 1978,KEN,3,Rieti (ITA),07 SEP 2003,1188,230.98
112,3:51.00,Filbert BAYI,23 JUN 1953,TAN,1,Kingston (JAM),17 MAY 1975,1188,231.0
113,3:51.02,John GLADWIN,07 MAY 1963,GBR,2,"Letzigrund, Zürich (SUI)",19 AUG 1987,1188,231.02
114,3:51.05,Hudson SANTOS DE SOUZA,25 FEB 1977,BRA,8,Oslo (NOR),29 JUL 2005,1187,231.05
115,3:51.06,Frank O'MARA,17 JUL 1960,IRL,4,"Stadio Olimpico, Roma (ITA)",10 SEP 1986,1187,231.06
116,3:51.10,Jim RYUN,29 APR 1947,USA,1,"Bakersfield, CA (USA)",23 JUN 1967,1187,231.1
117,3:51.12,Dieter BAUMANN,09 FEB 1965,GER,3,"Olympiastadion, Berlin (GER)",21 AUG 1992,1186,231.12
117,3:51.12,Mohamed SULEIMAN,23 NOV 1969,QAT,6,Zürich (SUI),16 AUG 1995,1186,231.12
119,3:51.14,Adil KAOUCH,01 JAN 1979,MAR,1,Oslo (NOR),15 JUN 2007,1186,231.14
120,3:51.17,Vincent KIBET,06 MAY 1991,KEN,4f1,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1186,231.17000000000002
121,3:51.23,Matthew RAMSDEN,23 JUL 1997,AUS,1f1,"Centro Enrico Mattei, San Donato Milanese (ITA)",05 SEP 2020,1185,231.23
122,3:51.25,Jeffrey RISELEY,11 NOV 1986,AUS,5,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1185,231.25
123,3:51.31,Anthony MORRELL,03 MAY 1962,GBR,4,Oslo (NOR),14 JUL 1990,1184,231.31
123,3:51.31,Juan VAN DEVENTER,26 MAR 1983,RSA,7,"Bislett Stadion, Oslo (NOR)",06 JUN 2008,1184,231.31
125,3:51.33,Rashid RAMZI,17 JUL 1980,BRN,2,"Eugene, OR (USA)",04 JUN 2005,1184,231.32999999999998
126,3:51.34,John GREGOREK,15 APR 1960,USA,6,Oslo (NOR),26 JUN 1982,1183,231.34
127,3:51.39,Richie HARRIS,04 MAR 1959,USA,3,Koblenz (GER),29 AUG 1984,1183,231.39
127,3:51.39,Gert-Jan LIEFERS,26 SEP 1978,NED,2,"Blankers-Koen Stadion, Hengelo (NED)",01 JUN 2003,1183,231.39
129,3:51.41,Peter RONO,31 JUL 1967,KEN,4,Lausanne (SUI),10 JUL 1991,1183,231.41
130,3:51.45,Russell BROWN,06 MAR 1985,USA,9,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1182,231.45
130,3:51.45,Lopez LOMONG,01 JAN 1985,USA,9,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1182,231.45
132,3:51.50,Enock KOECH,04 APR 1981,KEN,8,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1181,231.5
133,3:51.55,Graham HOOD,02 APR 1972,CAN,8,"Olympiastadion, Berlin (GER)",26 AUG 1997,1181,231.55
133,3:51.55,Mahiedine MEKHISSI,15 MAR 1985,FRA,5,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1181,231.55
135,3:51.57,Jack BUCKNER,22 SEP 1961,GBR,4,Koblenz (GER),29 AUG 1984,1180,231.57
136,3:51.59,Eamonn COGHLAN,21 NOV 1952,IRL,5,Oslo (NOR),09 JUL 1983,1180,231.59
137,3:51.60,Craig ENGELS,01 MAY 1994,USA,5,"Cobb Track and Angell Field, Stanford, CA (USA)",30 JUN 2019,1180,231.6
138,3:51.62,Chuck ARAGON,29 MAR 1959,USA,3,Oslo (NOR),21 JUL 1984,1180,231.62
139,3:51.64,Marcus O'SULLIVAN,22 DEC 1961,IRL,5,Oslo (NOR),01 JUL 1989,1180,231.64
140,3:51.70,Cooper TEARE,18 AUG 1999,USA,6,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1179,231.7
141,3:51.74,Andrew WHEATING,21 NOV 1987,USA,5f1,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1178,231.74
142,3:51.76,Steve CRABB,30 NOV 1963,GBR,1,London (GBR),14 AUG 1987,1178,231.76
143,3:51.79,Driss MAAZOUZI,15 OCT 1969,FRA,6,Bruxelles (BEL),25 AUG 2000,1178,231.79
144,3:51.80,David KIBET,24 NOV 1963,KEN,1,Jerez de la Frontera (ESP),17 SEP 1991,1178,231.8
145,3:51.82,Michael HILLARDT,22 JAN 1961,AUS,1,Koblenz (GER),28 AUG 1985,1177,231.82
145,3:51.82,Reyes ESTÉVEZ,02 AUG 1976,ESP,6,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1177,231.82
145,3:51.82,Will LEER,15 APR 1985,USA,1,Dublin (IRL),11 JUL 2014,1177,231.82
148,3:51.84,Pieter-Jan HANNES,30 OCT 1992,BEL,3,"Bislett Stadion, Oslo (NOR)",11 JUN 2015,1177,231.84
149,3:51.90,Anthony WHITEMAN,13 NOV 1971,GBR,3,Nice (FRA),16 JUL 1998,1176,231.9
150,3:51.94,Suleiman NYAMBUI,13 FEB 1953,TAN,4,Lausanne (SUI),14 JUL 1981,1176,231.94
151,3:51.96,Gennaro DI NAPOLI,05 MAR 1968,ITA,1,San Donato Milanese (ITA),30 MAY 1992,1175,231.96
152,3:51.99,Clayton MURPHY,26 FEB 1995,USA,5f1,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1175,231.99
152,3:51.99,Thiago ANDRÉ,04 AUG 1995,BRA,1f2,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1175,231.99
152,3:51.99,Jake HEYWARD,26 APR 1999,GBR,7,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1175,231.99
155,3:52.00,Mohammed SHAWEEN,15 FEB 1986,KSA,4,"Bislett Stadion, Oslo (NOR)",09 JUN 2011,1175,232.0
156,3:52.01,David TORRENCE,26 NOV 1985,USA,9,"Hayward Field, Eugene, OR (USA)",02 JUN 2012,1175,232.01
157,3:52.02,Craig MASBACK,31 MAR 1955,USA,3,Oslo (NOR),17 JUL 1979,1175,232.02
157,3:52.02,Pascal THIÉBAUT,06 JUN 1959,FRA,4,Oslo (NOR),21 JUL 1984,1175,232.02
157,3:52.02,Nick MCCORMICK,11 SEP 1981,GBR,9,Oslo (NOR),29 JUL 2005,1175,232.02
160,3:52.04,Nadir BOSCH,16 MAY 1973,FRA,7,Bruxelles (BEL),25 AUG 2000,1174,232.04
161,3:52.08,Yemaneberhan CRIPPA,15 OCT 1996,ITA,2f1,"Centro Enrico Mattei, San Donato Milanese (ITA)",05 SEP 2020,1174,232.07999999999998
162,3:52.11,Galen RUPP,08 MAY 1986,USA,5,"Olympic Stadium, London (GBR)",27 JUL 2013,1174,232.11
163,3:52.16,Taoufik MAKHLOUFI,29 APR 1988,ALG,11f1,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1173,232.16
164,3:52.17,Benjamin JIPCHO,01 MAR 1943,KEN,1,Stockholm (SWE),02 JUL 1973,1173,232.17000000000002
165,3:52.18,Boaz Kiplagat LALANG,08 FEB 1989,KEN,5,"Bislett Stadion, Oslo (NOR)",04 JUN 2010,1173,232.18
166,3:52.20,Marty LIQUORI,11 SEP 1949,USA,2,Kingston (JAM),17 MAY 1975,1172,232.2
167,3:52.20,Abdelkader HACHLAF,03 JUL 1979,MAR,7,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1172,232.2
168,3:52.21,Saïd CHÉBILI,06 MAY 1973,FRA,3,Nice (FRA),16 JUL 1997,1172,232.21
168,3:52.21,Jamale AARRASS,15 NOV 1981,FRA,,"Walnut, CA (USA)",20 APR 2012,1172,232.21
170,3:52.24,Dragan ZDRAVKOVIĆ,16 DEC 1959,YUG,5,Berlin (GER),17 AUG 1983,1172,232.24
170,3:52.24,Ryan GREGSON,26 APR 1990,AUS,5,"Crystal Palace, London (GBR)",14 AUG 2010,1172,232.24
172,3:52.31,Vittorio FONTANELLA,17 MAR 1953,ITA,6,Zürich (SUI),19 AUG 1981,1171,232.31
173,3:52.33,Martin KEINO,20 JUN 1972,KEN,6,Oslo (NOR),05 JUL 1996,1171,232.32999999999998
174,3:52.35,Belal Mansoor ALI,17 OCT 1988,BRN,5,Oslo (NOR),15 JUN 2007,1170,232.35
175,3:52.36,Uwe BECKER,10 DEC 1955,FRG,7,Koblenz (GER),25 AUG 1982,1170,232.36
176,3:52.38,Joseph CHESIRE,12 NOV 1957,KEN,7,Oslo (NOR),01 JUL 1989,1170,232.38
176,3:52.38,Arturo CASADO,26 JAN 1983,ESP,6,Oslo (NOR),15 JUN 2007,1170,232.38
178,3:52.39,Charles Kipkoech CHERUIYOT,02 DEC 1964,KEN,8,Oslo (NOR),02 JUL 1988,1170,232.39
178,3:52.39,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Gateshead (GBR),27 JUN 1999,1170,232.39
180,3:52.41,Paul RYAN,29 MAY 1997,USA,1,"Mater Dei Prep, Middletown Township, NJ (USA)",01 SEP 2022,1170,232.41
181,3:52.42,Robert NEMETH,05 JUN 1958,AUT,3,Rieti (ITA),09 SEP 1981,1170,232.42000000000002
181,3:52.42,Jordan MCNAMARA,07 MAR 1987,USA,7,"Olympic Stadium, London (GBR)",27 JUL 2013,1170,232.42000000000002
181,3:52.42,William PAULSON,17 NOV 1994,CAN,8,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1170,232.42000000000002
184,3:52.44,John ROBSON,31 JAN 1957,GBR,8,Oslo (NOR),11 JUL 1981,1169,232.44
185,3:52.45,David KIPLAK,27 DEC 1981,KEN,4,Oslo (NOR),28 JUN 2002,1169,232.45
186,3:52.46,Rüdiger STENZEL,16 APR 1968,GER,11,"Olympiastadion, Berlin (GER)",26 AUG 1997,1169,232.46
187,3:52.48,Robert KIBET,15 DEC 1965,KEN,5,"Bislett Stadion, Oslo (NOR)",22 JUL 1994,1169,232.48
188,3:52.49,Juan Carlos HIGUERO,03 AUG 1978,ESP,8,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1169,232.49
188,3:52.49,Elliot GILES,26 MAY 1994,GBR,1,"International Stadium, Gateshead (GBR)",13 JUL 2021,1169,232.49
190,3:52.50,Michael EAST,20 JAN 1978,GBR,1,Sheffield (GBR),21 AUG 2005,1169,232.5
191,3:52.51,Ben BLANKENSHIP,15 DEC 1988,USA,7,"Cobb Track and Angell Field, Stanford, CA (USA)",30 JUN 2019,1168,232.51
192,3:52.54,Jonah BIRIR,12 DEC 1971,KEN,2,San Donato Milanese (ITA),30 MAY 1992,1168,232.54
192,3:52.54,Salah HISSOU,16 JAN 1972,MAR,5,"Crystal Palace, London (GBR)",07 AUG 1999,1168,232.54
194,3:52.57,Hervé PHÉLIPPEAU,16 SEP 1962,FRA,4,"Olympiastadion, Berlin (GER)",18 AUG 1989,1168,232.57
195,3:52.59,Jozef PLACHÝ,28 FEB 1949,TCH,2,Stockholm (SWE),03 JUL 1978,1167,232.59
196,3:52.62,Patrick CASEY,23 MAY 1990,USA,2,Dublin (IRL),11 JUL 2014,1167,232.62
197,3:52.63,Nathan BRANNEN,08 SEP 1982,CAN,3,"Eugene, OR (USA)",07 JUN 2009,1167,232.63
198,3:52.64,Branko ZORKO,01 JUL 1967,CRO,4,Stockholm (SWE),05 AUG 1998,1167,232.64
198,3:52.64,Charlie DA'VALL GRICE,07 NOV 1993,GBR,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1167,232.64
200,3:52.66,Mohamed AMYN,25 MAR 1976,MAR,8,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1167,232.66
200,3:52.66,Anis SELMOUNI,15 MAR 1979,MAR,3,"Blankers-Koen Stadion, Hengelo (NED)",01 JUN 2003,1167,232.66
202,3:52.70,Ismael DEBJANI,25 SEP 1990,BEL,5,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1166,232.7
203,3:52.72,Isaac VICIOSA,26 DEC 1969,ESP,6,"Bislett Stadion, Oslo (NOR)",22 JUL 1994,1166,232.72
203,3:52.72,Rachid KARAMA,05 APR 1963,ALG,4,Nice (FRA),16 JUL 1997,1166,232.72
203,3:52.72,Giuseppe D'URSO,15 SEP 1969,ITA,9,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1166,232.72
206,3:52.75,Matthew YATES,04 FEB 1969,GBR,5,Oslo (NOR),10 JUL 1993,1165,232.75
207,3:52.77,Ross MURRAY,08 OCT 1990,GBR,2,"Crystal Palace, London (GBR)",14 JUL 2012,1165,232.77
208,3:52.78,Alexandre GONZALEZ,16 MAR 1951,FRA,6,Lausanne (SUI),14 JUL 1981,1165,232.78
209,3:52.80,Jeff ATKINSON,24 FEB 1963,USA,4,"Letzigrund, Zürich (SUI)",17 AUG 1988,1165,232.8
210,3:52.85,Youssef BABA,07 AUG 1979,MAR,9,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1164,232.85
210,3:52.85,Sergio GALLARDO,22 MAR 1979,ESP,7,Oslo (NOR),15 JUN 2007,1164,232.85
212,3:52.90,Andrew BAYER,03 FEB 1990,USA,9,"Olympic Stadium, London (GBR)",27 JUL 2013,1163,232.9
